TYPE,La,Cr,Zr,Ti
m-Na-Al-1,0.022539346,0.056267247,0.658076818,0.263116589
m-Na-Al-1,0.032616612,0.036218753,0.585915734,0.345248901
m-Na-Al-1,0.017593947,0.011492155,0.669109423,0.301804474
m-Na-Al-1,0.039707505,0.020735957,0.50475087,0.434805669
m-Na-Al-1,0.020059569,0.016068821,0.68274759,0.28112402
m-Na-Al-1,0.044346357,0.030694094,0.423015325,0.501944224
m-Na-Al-1,0.019620259,0.012285689,0.652808421,0.31528563
m-Na-Al-1,0.043857285,0.034175719,0.509096821,0.412870175
m-Na-Al-1,0.027399416,0.020278753,0.508842552,0.443479279
m-Na-Al-1,0.030098411,0.026165484,0.589297989,0.354438116
m-Na-Al-1,0.022391954,0.020913312,0.629393063,0.327301671
m-Na-Al-1,0.028932141,0.035143137,0.551980297,0.383944425
m-Na-Al-1,0.013482036,0.021047086,0.499754541,0.465716337
m-Na-Al-1,0.052600846,0.025938557,0.41769642,0.503764176
m-Na-Al-1,0.041285219,0.035233488,0.465274533,0.45820676
m-Na-Al-1,0.022423155,0.03292765,0.522471642,0.422177552
m-Na-Al-1,0.032152713,0.025828982,0.527026939,0.414991366
m-Na-Al-1,0.031781166,0.068031051,0.485784599,0.414403184
m-Na-Al-1,0.014137183,0.022077615,0.543305697,0.420479505
m-Na-Al-3,0.052470048,0.256054198,0.394608118,0.296867636
m-Na-Al-3,0.05168197,0.263330436,0.407102122,0.277885472
m-Na-Al-3,0.048533274,0.306896128,0.372207078,0.27236352
m-Na-Al-3,0.051015277,0.231380712,0.427403766,0.290200245
m-Na-Al-3,0.047540162,0.268186818,0.392956908,0.291316112
m-Na-Al-3,0.051788191,0.271660812,0.385623736,0.290927262
m-Na-Al-3,0.050751967,0.265472751,0.385509254,0.298266029
m-Na-Al-3,0.050658671,0.273079502,0.392260102,0.284001725
Potash-1,0.053092739,0.042241392,0.524680964,0.379984905
Potash-1,0.076801452,0.069178948,0.306497647,0.547521953
Potash-1,0.070082492,0.084571626,0.305315482,0.5400304
Potash-1,0.052157763,0.150494419,0.301796183,0.495551635
Potash-1,0.05531186,0.113287903,0.403933971,0.427466267
Potash-1,0.052023481,0.148125024,0.386487652,0.413363842
Potash-1,0.070557105,0.145975534,0.325820225,0.457647137
Potash-1,0.077078708,0.023466421,0.398404128,0.501050742
Potash-1,0.066128074,0.146610297,0.345575039,0.44168659
Potash-1,0.060338762,0.141657713,0.324769776,0.47323375
Potash-1,0.052271317,0.137693249,0.378629135,0.431406299
Potash-1,0.046058679,0.126707004,0.36573896,0.461495357
Potash-1,0.073029077,0.042559439,0.570470569,0.313940915
Potash-1,0.09249828,0.065063874,0.37275984,0.469678006
Potash-1,0.083768769,0.04025122,0.382937921,0.49304209
Potash-1,0.054050823,0.082448526,0.355240942,0.508259708
Potash-1,0.071722649,0.0729546,0.415986949,0.439335803
Potash-1,0.076996675,0.091094702,0.419114726,0.412793897
Potash-1,0.04667006,0.039925036,0.575134038,0.338270866
Potash-1,0.019724964,0.034901454,0.354839338,0.590534244
Potash-1,0.088745349,0.08375452,0.412982598,0.414517533
Potash-1,0.022048356,0.045386081,0.306025157,0.626540406
Potash-1,0.023067308,0.040058632,0.288217475,0.648656586
Potash-1,0.061630026,0.054853897,0.494898148,0.388617929
Potash-1,0.066139295,0.065639362,0.411795219,0.456426124
Potash-1,0.064956319,0.06373908,0.4002191,0.471085501
Potash-1,0.074837666,0.080723709,0.401255452,0.443183174
Potash-1,0.070552169,0.100941055,0.396656978,0.431849798
Potash-1,0.039219259,0.062732569,0.451356833,0.446691339
Potash-1,0.045589785,0.064232042,0.532042593,0.35813558
Potash-1,0.051996308,0.051757737,0.533719075,0.36252688
Potash-1,0.055049488,0.031988924,0.524496829,0.388464759
Potash-1,0.051861985,0.076840327,0.503622408,0.367675279
Potash-1,0.060614933,0.098339594,0.55506456,0.285980914
Potash-1,0.061095475,0.07273631,0.481333417,0.384834798
Potash-1,0.061154569,0.081265487,0.390095581,0.467484363
Potash-1,0.056254888,0.11162183,0.342178675,0.489944607
Potash-1,0.056705774,0.072905263,0.372173076,0.498215888
Potash-1,0.071294106,0.070550701,0.364645607,0.493509586
Potash-1,0.063984775,0.03939878,0.387571874,0.509044571
Potash-1,0.067202785,0.040930895,0.372903578,0.518962742
Potash-1,0.061855601,0.080132203,0.352806621,0.505205576
Potash-1,0.071655138,0.047446439,0.376479126,0.504419296
Potash-1,0.037340043,0.09193494,0.323920528,0.54680449
Potash-1,0.073021746,0.129175173,0.356815703,0.440987378
Potash-1,0.070514423,0.091791756,0.349191387,0.488502435
Potash-1,0.074740082,0.11457091,0.371028042,0.439660966
Potash-1,0.10012036,0.0354901,0.282894742,0.581494798
Potash-1,0.028649391,0.098623577,0.430382526,0.442344506
Potash-1,0.063314354,0.057060189,0.428916254,0.450709203
Potash-1,0.058800932,0.077090709,0.395083595,0.469024764
Potash-1,0.064247989,0.114899599,0.396380553,0.424471859
Potash-1,0.056517301,0.039645524,0.467149955,0.43668722
Potash-1,0.06016184,0.044366197,0.472860579,0.422611384
Potash-1,0.053772074,0.064246345,0.563818572,0.318163009
Potash-1,0.067936763,0.02900402,0.558618648,0.344440569
Potash-1,0.052449896,0.047243137,0.567135909,0.333171058
Potash-1,0.066084519,0.053949941,0.524027525,0.355938014
Potash-1,0.090952395,0.066429644,0.621717263,0.220900698
Potash-1,0.063048231,0.048827875,0.501538035,0.386585859
Potash-1,0.078753017,0.053072627,0.636555533,0.231618823
Potash-1,0.061221109,0,0.538736343,0.400042547
Potash-1,0.060107413,0.052586953,0.453064972,0.434240661
Potash-1,0.093115765,0.054223939,0.543634538,0.309025758
Potash-1,0.071753594,0.067626886,0.605170906,0.255448613
Potash-1,0.06720145,0.077580142,0.417098082,0.438120325
Potash-1,0.054079887,0.069570209,0.465273532,0.411076372
Potash-1,0.076053897,0.127363203,0.384845608,0.411737292
Potash-1,0.094971134,0.0682309,0.380040289,0.456757677
Potash-1,0.106417261,0.05662035,0.364889794,0.472072595
Potash-1,0.053132307,0.020201095,0.274258316,0.652408282
Potash-3,0.022464956,0.302035654,0.418279868,0.257219522
Potash-3,0.044051185,0.39636611,0.311531069,0.248051636
Potash-3,0.044688724,0.36927808,0.323791052,0.262242144
Potash-3,0.032746446,0.315389204,0.380638033,0.271226317
Potash-3,0.027864644,0.289024996,0.396501277,0.286609083
Potash-3,0.057640951,0.357356461,0.281878859,0.303123729
Potash-3,0.05601344,0.376893882,0.279181407,0.287911272
Potash-3,0.041101709,0.550705602,0.081076093,0.327116596
Potash-3,0.026193577,0.334192258,0.375280748,0.264333417
Potash-3,0.026648069,0.308461602,0.387153408,0.277736921
Potash-3,0.028485932,0.283415423,0.407118813,0.280979832
Potash-3,0.026206697,0.332342536,0.374800475,0.266650293
Potash-3,0.026253599,0.317104905,0.380714595,0.275926901
Potash-3,0.055226205,0.067104909,0.469721231,0.407947656
Potash-3,0.047058098,0.269350773,0.414568502,0.269022628
Potash-3,0.044787829,0.255415765,0.423374195,0.276422211
Potash-3,0.088467489,0.063865971,0.427493692,0.420172849
Potash-3,0.032284175,0.318583844,0.401680942,0.247451038
Potash-3,0.037472611,0.330503648,0.358099934,0.273923807
